starter_rank,first_name,last_name,position,school,listed_height,listed_weight,projected_round,confidence_tier,archetype_hint,risk_note,source_keys,source_rank_notes,scouting_note,import_status
1,"Jeremiah","Smith","WR","Ohio State","6-3",223,"Round 1","blue_chip","X receiver / alpha separator","Very high expectations; WR at 1.01 depends on QB demand.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;SPORTING_VIA_CHARGERS_2026_04_25","PFF 1; PFSN 1; NBC 2; CBS 3; Sporting 1","Established elite production profile with rare size/speed/strength blend. Treat as the safest non-QB in the starter board.","manual_review"
2,"Arch","Manning","QB","Texas","6-4",219,"Round 1","blue_chip","toolsy franchise QB","Needs 2026 consistency; name value may inflate public board.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 6; PFSN 7; NBC 1; CBS 1; Sporting 2","Prototype size and athleticism with enough late-2025 momentum to sit near the top, but his true grade should stay volatile until more starts are in.","manual_review"
3,"Dante","Moore","QB","Oregon","6-3",206,"Round 1","blue_chip","rhythm passer / vertical arm","Decision-making and interception variance remain the main check.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 3; PFSN 3; NBC 4; CBS 2; Sporting 4","Natural thrower with big-time throw upside. Start as QB1/QB2 tier rather than a finished product.","manual_review"
4,"Colin","Simmons","EDGE","Texas","6-3",240,"Round 1","blue_chip","speed edge / bend rusher","Listed size is lighter than ideal edge prototype.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 4; PFSN 6; NBC 9; CBS 4; Sporting 3","Explosive first-step rusher with high pressure production. Easy top defensive-player candidate.","manual_review"
5,"Leonard","Moore","CB","Notre Dame","6-2",195,"Round 1","blue_chip","press/man CB1","Could have quieter stats if offenses avoid him.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;SPORTING_VIA_CHARGERS_2026_04_25","PFF 5; PFSN 2; NBC 8; CBS 5; Sporting 5","Long, complete corner with ball production and shutdown profile. Build as an immediate high-impact outside CB.","manual_review"
6,"Dylan","Stewart","EDGE","South Carolina","6-5",245,"Round 1","high","explosive edge / traits rusher","Needs down-to-down consistency; back issue noted publicly.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 7; PFSN 4; NBC 7; CBS 7; Sporting 9","Premium edge traits with top-10 upside. Slightly more volatile than Simmons.","manual_review"
7,"Cam","Coleman","WR","Texas","6-3",201,"Round 1","high","vertical / contested-catch WR","Transfer and QB context may reshape his stock.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 12; PFSN 5; NBC 5; CBS 6; Sporting 12","Former elite recruit with size and field-stretching traits. Give him high ceiling with uneven current polish.","manual_review"
8,"Julian","Sayin","QB","Ohio State","6-1",208,"Round 1","high","accurate pocket passer","Size and limited rushing could cap upside in NFL rooms.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;SPORTING_VIA_CHARGERS_2026_04_25","PFF 2; NBC 13; Sporting 11","Efficient passer with strong ball security profile. True grade should be high, athletic/scramble ratings modest.","manual_review"
9,"Trevor","Goosby","OT","Texas","6-7",312,"Round 1","high","long pass-protecting OT","Still developing physically; one more year of proof needed.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26","PFF 10; PFSN 10; NBC 6; CBS 10","Long-framed Texas tackle with pass-protection tools and upward trajectory.","manual_review"
10,"Jordan","Seaton","OT","LSU","6-5",330,"Round 1","high","power OT / traits tackle","Injury history and SEC transition need monitoring.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 18; PFSN 8; NBC 16; Sporting 6","Massive tackle with high pedigree. Better pass-protection starter than run-game certainty for now.","manual_review"
11,"David","Stone","IDL","Oklahoma","6-3",310,"Round 1","high","3-tech / interior disruptor","Needs to keep production with added attention.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 9; PFSN 9","Interior defender with anchor and rush versatility. Start as top IDL cluster.","manual_review"
12,"KJ","Bolden","FS","Georgia","6-0",185,"Round 1","high","versatile safety / nickel safety","Frame is lighter; role should be movable DB, not pure box enforcer.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;SPORTING_VIA_CHARGERS_2026_04_25","PFF 16; PFSN 12; Sporting 13","Smart, versatile Georgia safety with leadership and tackling profile.","manual_review"
13,"Ellis","Robinson IV","CB","Georgia","6-0",180,"Round 1","high","fluid man CB","May not declare; needs more physical development.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;SPORTING_VIA_CHARGERS_2026_04_25","PFF 11; PFSN 28; NBC 10; CBS 11; Sporting 14","High-pedigree cover corner with ball skills and movement traits.","manual_review"
14,"Cayden","Green","OT","Missouri","6-5",324,"Round 1","high","guard/tackle versatile blocker","Position projection may shift between tackle and guard.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;SPORTING_VIA_CHARGERS_2026_04_25","PFF 14; PFSN 35; Sporting 7","Versatile blocker with strong consistency profile. Useful for flex ratings across OT/OG.","manual_review"
15,"A'Mauri","Washington","IDL","Oregon","6-3",330,"Round 1","high","nose/3-tech hybrid","Conditioning and pass-rush ceiling need review.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;SPORTING_VIA_CHARGERS_2026_04_25","PFF 23; PFSN 25; NBC 18; Sporting 22","Massive interior with run-stopping profile and pass-deflection production.","manual_review"
16,"Matayo","Uiagalelei","EDGE","Oregon","6-5",272,"Round 1","high","big edge / power end","More solid than spectacular depending on 2026 jump.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;SPORTING_VIA_CHARGERS_2026_04_25","PFF 17; PFSN 26; NBC 19; Sporting 20","Big Oregon edge who can play attached or stand-up. High floor with first-round tools.","manual_review"
17,"Ahmad","Hardy","RB","Missouri","5-10",206,"Round 1-2","high","contact-balance workhorse RB","Receiving value is the swing trait.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;SPORTING_VIA_CHARGERS_2026_04_25","PFF 26; PFSN 33; NBC 21; Sporting 17","Physical, balanced runner with heavy workload profile. Start as RB1 candidate.","manual_review"
18,"Trey'Dez","Green","TE","LSU","6-7",240,"Round 1-2","high","big slot / red-zone TE","Drops and inline blocking detail need review.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;CBS_2026_04_26","PFF 35; PFSN 37; CBS 9","Rare size and receiving matchup profile. Better receiving upside than traditional inline projection.","manual_review"
19,"Zabien","Brown","CB","Alabama","6-0",192,"Round 1-2","high","outside CB / ballhawk","Public profile includes both splash plays and inconsistency.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;SPORTING_VIA_CHARGERS_2026_04_25","PFF 41; PFSN 15; NBC 12; Sporting 23","Alabama corner with playmaking flashes and starter traits. Give moderate variance.","manual_review"
20,"Brendan","Sorsby","QB","Texas Tech","6-3",235,"Round 1-2","medium","athletic pocket/play-action QB","Transfer production bump may change everything.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;CBS_2026_04_26","PFF 40; PFSN 50; CBS 8","Prototypical frame, mobility, and low sack profile. Needs 2026 Big 12 proof.","manual_review"
21,"CJ","Carr","QB","Notre Dame","6-2",210,"Round 1-2","medium","timing passer / distributor","Could return to school; early-declare uncertainty.","NBC_2026_04_27;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25;PFF_2026_04_28","NBC 3; Fox top 10; Sporting 16; PFF 38","Young Notre Dame passer with leadership/timing appeal. Treat as high-potential but declaration-risk prospect.","manual_review"
22,"Drew","Mestemaker","QB","Oklahoma State","6-4",211,"Round 1-2","medium","spread passer / late riser","One-year breakout and scheme translation are the questions.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27","PFF 29; PFSN 23; NBC 14","Late-rising passer with production and size. Needs heavier scouting before ratings.","manual_review"
23,"Rasheem","Biles","LB","Texas","6-1",220,"Round 1-2","medium","run-and-hit LB","Undersized for some teams; role may be modern WILL.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;SPORTING_VIA_CHARGERS_2026_04_25","PFF 33; PFSN 49; Sporting 10","Converted DB linebacker with downhill juice and pressure upside.","manual_review"
24,"Kewan","Lacy","RB","Ole Miss","5-11",200,"Round 2","medium","volume RB","Hands/receiving profile needs improvement.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 42; PFSN 24","Young runner with first-down production and workload traits.","manual_review"
25,"Jamari","Johnson","TE","Oregon","6-5",257,"Round 2","medium","inline TE","Needs target-volume proof in 2026.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 28; PFSN 13","More traditional tight end profile with size and inline alignment comfort.","manual_review"
26,"Will","Echoles","IDL","Ole Miss","6-3",310,"Round 1-2","medium","penetrating 3-tech","Former position switch; needs repeat production.","PFF_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 32; Sporting 8","Interior pressure producer with defensive-stop production. Use high pass-rush IDL grade if imported.","manual_review"
27,"Carter","Smith","OT","Indiana","TBD",0,"Round 1-2","medium","pass-protecting LT","Older/returning tackle; verify measurements.","PFF_2026_04_28","PFF 8","PFF strongly values his pass-protection resume. Needs measurement and eligibility cleanup before import.","manual_review"
28,"Austin","Siereveld","OG","Ohio State","6-5",325,"Round 2","medium","pass-protecting guard/tackle","Pro position needs review.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 21; PFSN 19","Experienced Ohio State blocker with penalty discipline and pass-protection appeal.","manual_review"
29,"Ryan","Coleman-Williams","WR","Alabama","6-0",178,"Round 1-2","medium","slot/Z explosive WR","Drops and late-season production are major flags.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27","PFF 15; PFSN 64; NBC 11","Very young Alabama playmaker with high ceiling but clear ball-security/drop variance.","manual_review"
30,"Ryan","Wingo","WR","Texas","6-2",214,"Round 2","medium","big Z / vertical WR","Crowded Texas target tree could blur evaluation.","PFSN_2027_BIG_BOARD","PFSN 44","Big Texas receiver with size/speed profile. Needs 2026 production confirmation.","manual_review"
31,"Mario","Craver","WR","Texas A&M","5-9",165,"Round 2-3","medium","slot/YAC WR","Size will push him into specialist/slot projection.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 59; PFSN 17","Undersized but dangerous with the ball. Build as explosive slot with lower catch-radius ratings.","manual_review"
32,"Sammy","Brown","LB","Clemson","6-2",235,"Round 2","medium","three-down LB","Needs coverage and processing review.","PFSN_2027_BIG_BOARD;NBC_2026_04_27","PFSN 31; NBC 23","Athletic Clemson linebacker with first-round buzz in some mocks.","manual_review"
33,"Anthonie","Knapp","OT","Notre Dame","6-4",296,"Round 2","medium","technical OT / possible guard","May project inside depending length/play strength.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27","PFF 67; PFSN 30; NBC 20","Notre Dame lineman with left-tackle snaps and recovery arc after early 2025 tests.","manual_review"
34,"Trevor","Lauck","OT","Iowa","6-5",310,"Round 2","medium","steady pass-protecting OT","Run-heavy Iowa context complicates evaluation.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;SPORTING_VIA_CHARGERS_2026_04_25","PFF 31; PFSN 93; Sporting 18","Technically sound tackle with clean sack-prevention profile.","manual_review"
35,"Iapani","Laloulu","C","Oregon","6-2",329,"Round 2","medium","power center","Late-season dip needs review.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 50; PFSN 38","Powerful Oregon center with high-end anchor. Fits early interior OL board.","manual_review"
36,"Kade","Pieper","C","Iowa","6-4",290,"Round 2","medium","run-blocking center","Position transition to full-time center should be watched.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 34; PFSN 29","Run-game mauler expected to anchor Iowa's interior.","manual_review"
37,"Bray","Hubbard","FS","Alabama","6-2",213,"Round 2","medium","safety / robber","Not an elite recruit profile but production is strong.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 48; PFSN 53","Productive Alabama safety with run stops, interceptions, and forced fumbles.","manual_review"
38,"Brice","Pollock","CB","Texas Tech","6-0",195,"Round 2","medium","outside CB","Need athletic testing confirmation.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 56; PFSN 57","Reliable corner with strong passer-rating allowed profile in early reports.","manual_review"
39,"Ashton","Hampton","CB","Clemson","6-2",200,"Round 2","medium","physical outside CB","Needs 2026 jump to reach top cluster.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 46; PFSN 27","Long Clemson corner who contributes in run support.","manual_review"
40,"Princewill","Umanmielen","EDGE","Ole Miss","6-5",245,"Round 2","medium","long edge / speed-to-power","Needs production jump to match traits.","PFSN_2027_BIG_BOARD","PFSN 34","Long edge with traits profile. Start as upside Day 2 player.","manual_review"
41,"Bear","Alexander","IDL","Oregon","6-3",302,"Round 2","medium","3-tech / power DT","Transfer path and consistency need review.","PFSN_2027_BIG_BOARD;NBC_2026_04_27","PFSN 39; NBC 24","Known interior talent with early-round physical tools.","manual_review"
42,"Omarion","Miller","WR","Arizona State","6-2",210,"Round 2","medium","boundary WR","Public boards differ on him; needs source reconciliation.","PFSN_2027_BIG_BOARD","PFSN 11","PFSN is notably high on him. Keep on starter board but flag for manual film pass.","manual_review"
43,"KJ","Duff","WR","Rutgers","TBD",0,"Round 2-3","medium","big contested-catch WR","Need measurements/source cross-check.","PFF_2026_04_28","PFF 19","Massive perimeter target with contested-catch production in PFF writeup.","manual_review"
44,"Kelley","Jones","CB","Mississippi State","6-4",195,"Round 2-3","medium","long press CB","PFF high, PFSN lower; verify consistency.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27","PFF 20; PFSN 76; NBC 17","Long corner with tough-throw profile and first-round flashes.","manual_review"
45,"Ty","Benefield","SS","LSU","TBD",0,"Round 2-3","medium","versatile safety","May lack a single elite trait.","PFF_2026_04_28","PFF 39","High-volume tackler with slot/box/deep experience. Good flexible safety candidate.","manual_review"
46,"Terrance","Carter Jr.","TE","Texas Tech","6-2",245,"Round 2-3","medium","receiving TE","Short-area usage; route expansion needed.","PFF_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 54; Sporting 24","Productive returning tight end with YAC/target volume. Not as physically rare as Trey'Dez Green.","manual_review"
47,"Trinidad","Chambliss","QB","Ole Miss","6-1",200,"Round 1-3","medium","mobile creator QB","Size and one-year translation are key concerns.","PFSN_2027_BIG_BOARD;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFSN 80; Fox top 10; Sporting 15","Dynamic playmaker with leadership buzz. Give wide variance and high mobility.","manual_review"
48,"Darian","Mensah","QB","Miami (FL)","6-3",205,"Round 2-3","medium","rhythm passer","Multiple-transfer path and turnover-worthy plays need review.","PFF_2026_04_28;PFSN_2027_BIG_BOARD","PFF 69; PFSN 40","Productive passer entering Miami context. Interesting Day 2 QB for now.","manual_review"
49,"Suntarine","Perkins","EDGE","Ole Miss","TBD",0,"Round 2-3","medium","hybrid edge/LB","Needs more consistency and position clarity.","SPORTING_VIA_CHARGERS_2026_04_25","Sporting 21","Upside SEC edge with sack/TFL production and coverage flashes.","manual_review"
50,"John Henry","Daley","EDGE","Michigan","TBD",0,"Round 2-3","medium","high-motor edge","Transfer to Michigan raises competition/context questions.","PFF_2026_04_28","PFF 27","Highly graded returning edge with pressure-rate appeal. Needs measurement and role verification.","manual_review"
